Draw Date,Wi,nni,ng,Num,ber
10/7/23,47,54,57,60,65
10/4/23,9,35,54,63,64
10/2/23,12,26,27,43,47
9/30/23,19,30,37,44,46
9/27/23,1,7,46,47,63
9/25/23,10,12,22,36,50
9/23/23,1,12,20,33,66
9/20/23,16,27,59,62,63
9/18/23,2,21,26,40,42
9/16/23,8,11,19,24,46
9/13/23,22,30,37,44,45
9/11/23,9,25,27,53,66
9/9/23,11,19,29,63,68
9/6/23,9,14,20,23,63
9/4/23,1,26,32,46,51
9/2/23,25,38,42,66,67
8/30/23,4,13,35,61,69
8/28/23,4,6,25,55,68
8/26/23,20,22,26,28,63
8/23/23,25,30,32,33,55
8/21/23,3,4,12,22,28
8/19/23,1,25,27,38,62
8/16/23,9,11,17,19,55
8/14/23,32,34,37,39,47
8/12/23,19,21,37,50,65
8/9/23,10,15,21,67,69
8/7/23,6,13,20,35,54
8/5/23,18,42,44,62,65
8/2/23,23,24,33,51,64
7/31/23,2,11,48,58,65
7/29/23,10,25,27,34,38
7/26/23,3,16,40,48,60
7/24/23,3,4,12,28,49
7/22/23,25,27,36,37,63
7/19/23,7,10,11,13,24
7/17/23,5,8,9,17,41
7/15/23,2,9,43,55,57
7/12/23,23,35,45,66,67
7/10/23,2,24,34,53,58
7/8/23,7,23,24,32,43
7/5/23,17,24,48,62,68
7/3/23,15,26,31,38,61
7/1/23,4,17,35,49,61
6/28/23,19,25,34,57,68
6/26/23,6,28,39,43,54
6/24/23,2,38,44,50,62
6/21/23,5,11,33,35,63
6/19/23,36,39,52,57,69
6/17/23,2,12,45,61,64
6/14/23,3,20,36,42,64
6/12/23,2,3,16,23,68
6/10/23,21,32,42,46,50
6/7/23,16,21,29,53,66
6/5/23,2,31,45,46,49
6/3/23,15,45,64,67,68
5/31/23,2,4,54,61,62
5/29/23,21,33,35,62,64
5/27/23,24,38,39,48,56
5/24/23,12,21,44,50,58
5/22/23,9,38,48,52,68
5/20/23,17,23,32,38,63
5/17/23,18,34,37,45,51
5/15/23,1,26,28,55,58
5/13/23,3,15,20,23,46
5/10/23,21,24,33,55,69
5/8/23,15,20,33,36,43
5/6/23,31,39,47,51,53
5/3/23,21,26,30,45,47
5/1/23,3,38,55,61,66
4/29/23,16,53,54,57,65
4/26/23,2,15,30,35,49
4/24/23,19,21,55,66,68
4/22/23,17,36,47,63,68
4/19/23,4,11,21,38,64
4/17/23,23,25,35,63,64
4/15/23,1,33,34,56,59
4/12/23,9,36,41,44,59
4/10/23,9,10,36,46,52
4/8/23,11,22,24,51,60
4/5/23,3,5,9,42,52
4/3/23,16,30,31,54,68
4/1/23,11,19,21,29,52
3/29/23,4,9,24,46,66
3/27/23,19,26,36,43,58
3/25/23,15,17,18,47,57
3/22/23,27,28,37,50,57
3/20/23,1,27,32,47,67
3/18/23,14,20,30,54,69
3/15/23,16,18,33,37,50
3/13/23,3,10,24,46,63
3/11/23,11,20,33,43,58
3/8/23,26,27,43,61,69
3/6/23,2,13,29,58,69
3/4/23,10,16,18,40,66
3/1/23,2,9,28,36,53
2/27/23,16,28,49,51,55
2/25/23,11,24,58,66,67
2/22/23,11,19,39,44,65
2/20/23,3,17,26,38,54
2/18/23,8,21,31,32,37
2/15/23,31,32,54,60,63
2/13/23,17,26,37,61,65
2/11/23,10,23,30,54,65
2/8/23,52,58,59,64,66
2/6/23,5,11,22,23,69
2/4/23,2,8,15,19,58
2/1/23,31,43,58,59,66
1/30/23,1,4,12,36,49
1/28/23,2,18,23,27,47
1/25/23,9,17,20,38,40
1/23/23,12,31,47,58,60
1/21/23,5,14,19,46,64
1/18/23,6,15,22,42,47
1/16/23,4,14,33,39,61
1/14/23,24,26,39,47,57
1/11/23,4,8,46,47,48
1/9/23,18,43,48,60,69
1/7/23,35,36,44,45,67
1/4/23,12,32,56,67,68
1/2/23,7,9,12,31,62
12/31/22,18,37,44,50,64
12/28/22,26,32,38,45,56
12/26/22,17,41,47,60,61
12/24/22,17,37,46,54,67
12/21/22,12,15,24,34,59
12/19/22,7,37,55,65,67
12/17/22,33,56,64,66,68
12/14/22,36,51,59,66,68
12/12/22,16,31,50,55,61
12/10/22,9,23,47,49,68
12/7/22,6,28,44,59,61
12/5/22,35,45,47,54,55
12/3/22,6,13,33,36,37
11/30/22,4,19,24,47,66
11/28/22,29,30,32,48,50
11/26/22,15,30,47,50,51
11/23/22,1,2,31,39,66
11/21/22,1,6,40,51,67
11/19/22,7,28,62,63,64
11/16/22,28,34,51,53,56
11/14/22,19,35,53,54,67
11/12/22,16,20,44,57,58
11/9/22,7,14,24,30,56
11/5/22,28,45,53,56,69
11/2/22,2,11,22,35,60
10/31/22,13,19,36,39,59
10/29/22,19,31,40,46,57
10/26/22,19,36,37,46,56
10/24/22,18,23,35,45,54
10/22/22,19,25,48,55,60
10/19/22,6,8,15,27,42
10/17/22,19,30,36,46,60
10/15/22,32,37,40,58,62
10/12/22,14,30,41,42,59
10/10/22,3,6,11,17,22
10/8/22,13,43,53,60,68
10/5/22,26,30,33,37,62
10/3/22,2,16,22,55,63
10/1/22,8,21,22,65,69
9/28/22,6,10,24,33,67
9/26/22,13,20,31,33,59
9/24/22,3,9,21,24,29
9/21/22,6,33,34,45,54
9/19/22,7,15,36,46,67
9/17/22,5,25,36,51,61
9/14/22,9,10,20,22,52
9/12/22,6,14,16,34,66
9/10/22,38,42,56,68,69
9/7/22,3,16,30,33,36
9/5/22,4,7,32,55,64
9/3/22,18,27,49,65,69
8/31/22,7,8,19,24,28
8/29/22,13,36,43,61,69
8/27/22,2,18,56,60,65
8/24/22,6,24,35,37,44
8/22/22,12,27,34,55,67
8/20/22,5,9,11,16,66
8/17/22,23,28,41,50,55
8/15/22,20,24,47,50,63
8/13/22,19,24,35,43,62
8/10/22,29,44,59,61,68
8/8/22,32,45,51,57,58
8/6/22,8,15,46,56,68
8/3/22,9,21,56,57,66
8/1/22,15,21,31,36,65
7/30/22,4,17,57,58,68
7/27/22,1,25,44,55,57
7/25/22,25,37,38,39,65
7/23/22,39,41,54,59,62
7/20/22,10,20,23,49,65
7/18/22,14,34,36,50,58
7/16/22,3,18,23,32,57
7/13/22,22,23,36,47,63
7/11/22,4,26,34,37,52
7/9/22,14,22,42,46,52
7/6/22,32,36,49,62,69
7/4/22,15,16,24,31,56
7/2/22,9,10,37,59,62
6/29/22,8,40,49,58,63
6/27/22,11,13,18,30,37
6/25/22,6,12,20,27,32
6/22/22,6,10,31,48,56
6/20/22,3,44,61,63,69
6/18/22,10,19,40,45,58
6/15/22,19,28,41,42,51
6/13/22,2,27,42,44,51
6/11/22,18,20,26,53,69
6/8/22,22,39,43,62,64
6/6/22,2,10,35,44,46
6/4/22,14,16,36,52,60
6/1/22,11,41,56,57,63
5/30/22,27,28,51,68,69
5/28/22,2,39,50,61,66
5/25/22,19,28,39,42,57
5/23/22,1,33,37,39,42
5/21/22,14,15,25,52,58
5/18/22,40,41,58,64,65
5/16/22,7,15,22,36,64
